暫定ID,タイトル,ステージ,難易度,書誌URL,1ページ目URL,コマ数,請求番号,文書番号,コンテンツデータURL,主題別,資料種別,災害種別,災害名（地震・津波）,画像データ有無,コレクション名1,タイトル,タイトル（かな）,頁数,大きさ,出版社等,出版年（西暦年月日）,キーワード,備考,刊行方式,地域,請求番号,文書番号,ID,緯度,経度,緯度2,経度2,著者等,災害年（和暦年月日）,災害年（西暦年月日）,災害年（西暦年月日）データ,災害年（西暦年月日）終了,災害年（西暦年月日）終了データ,地名,災害名（火山）,既刊史料集,所蔵元
L000335,[嘉永三年二月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000335,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003435.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000335,04.火事,04.災害絵地図,,,有,01.和古書類,[嘉永三年二月の江戸大火に関する瓦版],[かえいさんねんにがつのえどたいかにかんするかわらばん],1,47.0×67.7（折畳：25.3×17.0）,,,,一枚物　1鋪　嘉永3年2月5日火事についての瓦版　絵図あり　文書番号3814と同じ絵図だが色の使い方が異なる,木版,15.東京,01.010-1,2196,L000335,35.689488,139.691706,35.689488,139.691706,,嘉永3年2月5日,,,,,北：半蔵御門　南：増上寺　東：堀　西：溜池,,,東京大学地震研究所図書室
L000345,新板ぢしん太平記,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000345,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/018/000018104.jpg,7,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000345,01.地震,02.古文書,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,新板ぢしん太平記,しんぱんじしんたいへいき,4（除表紙）,17.7×11.4,,,,和綴　1冊　安政江戸地震に関する太平記仕立ての戯文集　絵図あり　蔵書印あり（地震研究所図書）,木版,15.東京,01.010-4,2299,L000345,,,,,,安政2年,,,,,,,,東京大学地震研究所図書室
L000346,天學便蒙図説,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000346,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/011/000011427.jpg,19,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000346,07.天文学11.その他,02.古文書,,,有,01.和古書類,天學便蒙図説,てんがくべんもうずせつ,18（表紙なし）,25.6×17.6,,,,仮綴　1冊　朱子による天文学の説　絵図あり　蔵書印あり（地震研究所図書）,筆写本（彩色）,,01.010-4,2300,L000346,,,,,神林弼（復所） 稿,,,,,,,,,東京大学地震研究所図書室
L000347,[鯰の掛軸],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000347,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003436.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000347,01.地震04.火事,01.鯰絵,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,[鯰の掛軸],[なまずのかけじく],1,36.3×25.1,,,,折本装　漢字仮名混じり文あり　（No.129）,木版（多色刷）,15.東京,1.037,Jan-48,L000347,35.689488,139.691706,35.689488,139.691706,,安政2年,,,,,,,,東京大学地震研究所図書室
L000348,大地震大津浪場所聞書上之覺,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000348,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003437.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000348,01.地震03.津波,02.古文書,01.地震・津波,"237.238.安政東南海地震（安政元年11月4,5日）[1854年12月23,24日]",有,01.和古書類,大地震大津浪場所聞書上之覺,おおじしんおおつなみばしょききかきあげのおぼえ,1,23.2×32.5（折畳：15.1×8.2）,浪花本清 板,,,一枚物　1紙　安政東南海地震の被害状況についての瓦版,木版,60.全国（諸国）,01.011-1,2349,L000348,,,,,,嘉永7年11月4日,,,,,,,,東京大学地震研究所図書室
L000349,關東洪水の畧況,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000349,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003438.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000349,05.洪水06.暴風雨,04.災害絵地図,,,有,01.和古書類,關東洪水の畧況,かんとうこうずいのりゃくきょう,1,23.8×33.0（折畳：15.2×8.3）,著作印刷兼発行人 大森清風（東京本所区相生町五丁目五ハンチ）,1890,,一枚物　1紙　明治23年8月23日・30日の洪水についての瓦版、利根川・荒川流域の破堤箇所をあげる　絵図あり,木版（多色刷）,13.埼玉（武蔵）,01.011-1,2350,L000349,,,,,著作印刷兼発行人 大森清風（東京本所区相生町五丁目五ハンチ）,明治23年8月23日,18900823,18900824,18900823,18900823,,,,東京大学地震研究所図書室
L000350,焼場所方角繪圖,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000350,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003439.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000350,04.火事,04.災害絵地図,,,有,01.和古書類,焼場所方角繪圖,やけばしょほうがくえず,1,31.5×63.4（折畳：25.0×16.0）,,,,一枚物　1鋪　安政5年11月15日江戸の火事の類焼場所についての瓦版　絵図あり,木版（多色刷）,15.東京,01.011-1,2351,L000350,35.69169,139.770883,35.682413,139.773919,,安政5年11月15日,,,,,（神田～日本橋方面）,,,東京大学地震研究所図書室
L000351,[安政元年十二月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000351,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003440.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000351,04.火事,04.災害絵地図,,,有,01.和古書類,[安政元年十二月の江戸大火に関する瓦版],[あんせいがんねんじゅうにがつのえどたいかにかんするかわらばん],1,30.6×44.9（折畳：20.2×11.2）,,,,一枚物　1紙　安政元年12月28日江戸の火事の類焼場所についての瓦版　絵図あり　文書番号400-3と同じ,木版,15.東京,01.011-1,2352,L000351,35.694253,139.768986,35.682413,139.773919,,安政1年12月28日,,,,,（神田多町～日本橋）,,,東京大学地震研究所図書室
L000352,[安政五年十一月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000352,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003441.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000352,04.火事,04.災害絵地図,,,有,01.和古書類,[安政五年十一月の江戸大火に関する瓦版],[あんせいごねんじゅういちがつのえどたいかにかんするかわらばん],1,20.9×84.1（折畳：20.9×14.1）,,,,一枚物　1鋪　安政5年11月14日江戸の火事の類焼場所についての瓦版　絵図あり,木版,15.東京,01.011-1,2353,L000352,35.689488,139.691706,35.689488,139.691706,,安政5年11月14日,,,,,（日本橋周辺）,,,東京大学地震研究所図書室
L000353,出火方角場所附,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000353,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003442.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000353,04.火事,02.古文書,,,有,01.和古書類,出火方角場所附,しゅっかほうがくばしょづけ,1,94.2×22.8（折畳：22.8×15.9）,,,,一枚物　1鋪　文化3年3月4日芝大木戸牛町辺りより出火した火事の類焼場所についての瓦版　文書番号3808と同じものだが版は異なる　破損のため一部文字を欠く,木版,15.東京,01.011-1,2354,L000353,35.689488,139.691706,35.689488,139.691706,,文化3年3月4日,,,,,芝大木戸牛町・大もん・新橋・木挽町・京橋・すきや橋・ときわ橋・宝町通・人形町・神田土手下・しゃみせん堀・阿部川町・太郎いなり・大川通（ほか）,,,東京大学地震研究所図書室
L000354,[安政元年十二月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000354,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003443.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000354,04.火事,02.古文書,,,有,01.和古書類,[安政元年十二月の江戸大火に関する瓦版],[あんせいがんねんじゅうにがつのえどたいかにかんするかわらばん],1,22.0×56.2（折畳：22.0×14.2）,,,,一枚物　1鋪　安政元年12月28日江戸の火事の類焼場所についての瓦版,木版,15.東京,01.011-1,2355,L000354,35.696765,139.76967,35.682413,139.773919,,安政1年12月28日,,,,,（神田連雀町から日本橋方面一帯）,,,東京大学地震研究所図書室
L000355,[弘化三年一月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000355,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003444.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000355,04.火事,04.災害絵地図,,,有,01.和古書類,[弘化三年一月の江戸大火に関する瓦版],[こうかさんねんいちがつのえどたいかにかんするかわらばん],1,24.6×65.5（折畳：24.6×16.5）,,,,一枚物　1鋪　弘化3年正月15日本郷丸山下から出火した火事についての瓦版,木版,15.東京,01.011-1,2356,L000355,35.716853,139.752606,35.67109,139.779611,,弘化3年1月15日,,,,,（本郷丸山町～神田から鉄砲洲一帯）,,,東京大学地震研究所図書室
L000356,[安政元年十二月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000356,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003445.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000356,04.火事,04.災害絵地図,,,有,01.和古書類,[安政元年十二月の江戸大火に関する瓦版],[あんせいがんねんじゅうにがつのえどたいかにかんするかわらばん],1,21.0×58.6（折畳：22.0×14.2）,,,,一枚物　1鋪　安政元年12月28日江戸の火事の類焼場所についての瓦版　絵図あり,木版,15.東京,01.011-1,2357,L000356,35.696765,139.76967,35.67109,139.779611,,安政1年12月28日,,,,,（神田連雀町～日本橋～鉄砲洲方面一帯）,,,東京大学地震研究所図書室
L000357,[文政十二年三月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000357,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003446.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000357,04.火事,04.災害絵地図,,,有,01.和古書類,[文政十二年三月の江戸大火に関する瓦版],[ぶんせいじゅうにねんさんがつのえどたいかにかんするかわらばん],1,28.0×40.0（折畳：18.2×10.1）,,,,一枚物　1紙　（文政12年）3月21日外神田佐久間町から出火した火事・4月6日麻布長坂下から出火した火事についての瓦版　絵図あり,木版,15.東京,01.011-1,2358,L000357,35.689488,139.691706,35.689488,139.691706,,文政12年3月21日,,,,,北：（外神田）佐久間町　南：新橋・汐留　東：永代橋　西：（江戸城内堀）,,,東京大学地震研究所図書室
L000358,[弘化三年一月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000358,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003447.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000358,04.火事,04.災害絵地図,,,有,01.和古書類,[弘化三年一月の江戸大火に関する瓦版],[こうかさんねんいちがつのえどたいかにかんするかわらばん],1,32.7×46.2（折畳：20.2×11.6）,,,,一枚物　1紙　弘化3年正月15日本郷丸山から出火した火事・御救小屋についての瓦版,木版,15.東京,01.011-1,2359,L000358,35.716853,139.752606,35.67109,139.779611,,弘化3年1月15日,,,,,（本郷丸山町～日本橋～鉄砲洲方面一帯）,,,東京大学地震研究所図書室
L000359,[嘉永四年四月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000359,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003448.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000359,04.火事,04.災害絵地図,,,有,01.和古書類,[嘉永四年四月の江戸大火に関する瓦版],[かえいよねんしがつのえどたいかにかんするかわらばん],1,22.4×58.5（折畳：22.4×14.6）,,,,一枚物　1鋪　嘉永4年4月3日江戸の火事の類焼場所についての瓦版　絵図あり,木版,15.東京,01.011-2,2360,L000359,35.685003,139.715254,35.686014,139.730667,,嘉永4年4月3日,,,,,（伝馬町～塩町方面一帯）,,,東京大学地震研究所図書室
L000360,方角場所附,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000360,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003449.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000360,04.火事,04.災害絵地図,,,有,01.和古書類,方角場所附,ほうがくばしょづけ,1,22.5×91.2（折畳：22.4×15.5）,,,,一枚物　1鋪　文政12年3月21日江戸の火事の類焼場所についての瓦版　絵図あり　文書番号3809は全3紙のうち1紙目のみ同じ,木版,15.東京,01.011-2,2361,L000360,35.69169,139.770883,35.666503,139.772112,,文政12年3月21日,,,,,（神田～築地本願寺方面一帯）,,,東京大学地震研究所図書室
L000361,改正　大江戸町々施シ附,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000361,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003450.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000361,11.その他,02.古文書,,,有,01.和古書類,改正　大江戸町々施シ附,かいせい　おおえどまちまちほどこしづけ,1,31.0×78.4（折畳：25.0×17.9）,,,,一枚物　1鋪　江戸で施しを行った富豪の名前を列挙したもの　「諸色高値ニ付江戸町々大富豪より困窮の者へ金銀米穀を施す事山のごとく実に御当地の有難事を田舎の知固へ知らセん為に一紙に挙て便利とす」とあり,木版,15.東京,01.011-2,2362,L000361,35.689488,139.691706,35.689488,139.691706,,,,,,,江戸,,,東京大学地震研究所図書室
L000362,類焼道しるべ,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000362,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003451.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000362,04.火事,02.古文書,,,有,01.和古書類,類焼道しるべ,るいしょうみちしるべ,1,23.4×63.6（折畳：23.4×16.0）,,,,一枚物　1鋪　文政6年12月25日江戸の火事の類焼場所についての瓦版,木版,15.東京,01.011-2,2363,L000362,35.689488,139.691706,35.689488,139.691706,,文政6年12月25日,,,,,麹町・赤坂・田町（ほか）,,,東京大学地震研究所図書室
L000363,[文政十二年三月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000363,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003452.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000363,04.火事,04.災害絵地図,,,有,01.和古書類,[文政十二年三月の江戸大火に関する瓦版],[ぶんせいじゅうにねんさんがつのえどたいかにかんするかわらばん],1,45.4×64.5（折畳：25.1×16.3）,,,,一枚物　1鋪　文政12年3月21日外神田佐久間町弐丁目材木小屋より出火した火事についての瓦版　絵図あり　文書番号2021と同じだが、色は無く、版が異なる,木版,15.東京,01.011-2,2364,L000363,35.697564,139.776135,35.668265,139.787204,,文政12年3月21日,,,,,北：筋違御門～柳橋　南：（築地）　東：両国橋～永代橋　西：常盤橋御門～山下御門,,,東京大学地震研究所図書室
L000364,安政三辰八月廿五日　大風雨出水損場所之圖,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000364,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003453.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000364,04.火事05.洪水06.暴風雨,02.古文書,,,有,01.和古書類,安政三辰八月廿五日　大風雨出水損場所之圖,あんせいさんたつのはちがつにじゅうごにち　だいふううでみずそんじばしょのず,1,34.5×61.7（折畳：25.2×15.5）,,,,一枚物　1鋪　安政3年8月25日暴風雨による被害についての瓦版　絵図あり　文書番号2143と同一,木版,15.東京,01.011-2,2365,L000364,35.689488,139.691706,35.689488,139.691706,,安政3年8月25日,,,,,芝杉浦・芝明神前・築地門跡・永代橋・新吉原・下谷金杉,,,東京大学地震研究所図書室
L000365,江戸十里四方大風出水焼失　場所附,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000365,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003454.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000365,03.津波04.火事05.洪水06.暴風雨,02.古文書,,,有,01.和古書類,江戸十里四方大風出水焼失　場所附,えどじゅうりしほうおおかぜでみずしょうしつ　ばしょづけ,1,46.0×67.4（折畳：25.0×17.0）,,,,一枚物　1鋪　安政3年8月25日から26日までの暴風雨・高波・洪水・火事についての瓦版　絵図あり　一部破損あり　文書番号3851と同一,木版,15.東京,01.011-2,2366,L000365,35.689488,139.691706,35.689488,139.691706,,安政3年8月25日,,,,,江戸,,,東京大学地震研究所図書室
L000366,明治廿二年國々天災圖画,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000366,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003455.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000366,01.地震05.洪水06.暴風雨,04.災害絵地図,01.地震・津波,,有,01.和古書類,明治廿二年國々天災圖画,めいじにじゅうにねんくにぐにてんさいずが,1,50.7×36.5（折畳：25.5×18.3）,編輯兼発行兼印刷者　中川佐助（愛知縣□□廣町廿四番戸）,1889.09.15,,一枚物　1紙　明治22年に起きた各地の災害について（熊本大地震、遠江天竜大嵐、駿州鈴川・岩淵大嵐、名古屋堀川水、熱田大洪水、紀州大和大洪水、三河矢作川洪水、三河幡豆・宝飯郡洪水、奈良大洪水、東京大嵐）　絵図あり,木版,55.熊本（肥後）27.静岡（駿河．遠江．伊豆）28.愛知（尾張．三河）36.和歌山（紀伊）35.奈良（大和）15.東京,01.011-2,2367,L000366,,,,,編輯兼発行兼印刷者 中川佐助（愛知縣□□廣町廿四番戸）,明治22年,,18890101,,18890101,熊本・遠江・駿河・名古屋・熱田・紀州・三河・奈良・東京,,,東京大学地震研究所図書室
L000367,[天保五年二月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000367,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/005/000005084.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000367,04.火事,04.災害絵地図,,,有,01.和古書類,[天保五年二月の江戸大火に関する瓦版],[てんぽうごねんにがつのえどたいかにかんするかわらばん],1,42.6×61.7（折畳：22.1×13.1）,,,,一枚物　1鋪　天保5年2月7日外神田の佐久間丁二町目より出火した火事についての瓦版　絵図あり,木版,15.東京,01.011-2,2368,L000367,,,,,,天保5年2月7日,,,,,北：（神田）仲町・花房町・佐久間町二丁目　南：濱御殿　東：両国橋・新大橋・永代橋・佃島　西：常盤橋御門・呉服橋御門・鍛冶橋御門・数寄屋橋御門,,,東京大学地震研究所図書室
L000368,安政五午十一月十五日焼場方角附,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000368,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003456.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000368,04.火事,04.災害絵地図,,,有,01.和古書類,安政五午十一月十五日焼場方角附,あんせいごうまのじゅういちがつじゅうごにちやけばほうがくづけ,1,47.4×69.4（折畳：25.3×16.5）,,,,一枚物　1鋪　安政5年11月15日外神田ねりべいこうじ辺より出火した火事についての瓦版　絵図あり　文書番号2020と同一,木版,15.東京,01.011-2,2369,L000368,35.69169,139.770883,35.682413,139.773919,,安政5年11月15日,,,,,（神田～日本橋方面一帯）,,,東京大学地震研究所図書室
L000393,地震けん,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000393,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003457.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000393,01.地震04.火事06.暴風雨,01.鯰絵,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,地震けん,じしんけん,1,36.2×23.9,,,,折本装　漢字仮名混じり文あり、ルビ付　（No.135）　文書番号40265と同じ,木版（多色刷）,15.東京,1.037,2463,L000393,35.689488,139.691706,35.689488,139.691706,,安政2年,,,,,,,,東京大学地震研究所図書室
L000396,[天保五年二月の江戸大火に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000396,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003458.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000396,04.火事,04.災害絵地図,,,有,01.和古書類,[天保五年二月の江戸大火に関する瓦版],[てんぽうごねんにがつのえどたいかにかんするかわらばん],1,43.4×58.3（折畳：22.0×13.1）,,,,一枚物　1鋪　天保5年2月7・9・10日江戸の火事の類焼場所についての瓦版　絵図あり　書き入れあり,木版（多色刷）,15.東京,01.013-1,2469,L000396,35.689488,139.691706,35.689488,139.691706,,天保5年2月7日,,,,,神田・日本橋・築地方面一帯,,,東京大学地震研究所図書室
L000397,伊豆下田・小田原・箱根　大地震之圖,5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000397,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003459.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000397,01.地震03.津波,04.災害絵地図,01.地震・津波,"237.238.安政東南海地震（安政元年11月4,5日）[1854年12月23,24日]",有,01.和古書類,伊豆下田・小田原・箱根　大地震之圖,いずしもだ・おだわら・はこね　おおじしんのず,1,43.5×33.0（折畳：21.8×16.5）,,,,一枚物　1紙　安政東南海地震の小田原・箱根・下田周辺の被害状況についての瓦版　絵図あり,木版（多色刷）,16.神奈川（相模）27.静岡（駿河．遠江．伊豆）,01.013-1,2471,L000397,,,,,,嘉永7年11月4日,,,,,下田・小田原・箱根,,,東京大学地震研究所図書室
L000398,[安政東南海地震に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000398,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003460.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000398,01.地震03.津波04.火事,04.災害絵地図,01.地震・津波,"237.238.安政東南海地震（安政元年11月4,5日）[1854年12月23,24日]",有,01.和古書類,[安政東南海地震に関する瓦版],[あんせいとうなんかいじしんにかんするかわらばん],1,22.9×29.8（折畳：15.2×7.6）,,,,一枚物　1紙　安政東南海地震の被害状況についての瓦版　絵図あり,木版（多色刷）,16.神奈川（相模）27.静岡（駿河．遠江．伊豆）,01.013-1,2472,L000398,,,,,,嘉永7年11月4日,,,,,鎌倉～府中（駿府）,,,東京大学地震研究所図書室
L000399,[安政東南海地震に関する瓦版],5,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000399,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003461.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000399,01.地震03.津波04.火事,04.災害絵地図,01.地震・津波,"237.238.安政東南海地震（安政元年11月4,5日）[1854年12月23,24日]",有,01.和古書類,[安政東南海地震に関する瓦版],[あんせいとうなんかいじしんにかんするかわらばん],1,22.9×29.6（折畳：15.6×7.5）,,,,一枚物　1紙　安政東南海地震の被害状況についての瓦版　絵図あり,木版（多色刷）,16.神奈川（相模）25.長野（信濃）27.静岡（駿河．遠江．伊豆）,01.013-1,2473,L000399,,,,,,嘉永7年11月4日,,,,,沼津～金沢・松本,,,東京大学地震研究所図書室
